STATISTIC Label,Property Type,Location,Region,VALUE,YEAR,QUARTER
RTB Average Monthly Rent Report,Apartment,Laois,Midlands,801.05,2019,3
RTB Average Monthly Rent Report,Apartment,Leitrim,NorthWest,534.82,2019,3
RTB Average Monthly Rent Report,Apartment,Limerick,MidWest,959.87,2019,3
RTB Average Monthly Rent Report,Apartment,Longford,Midlands,570.53,2019,3
RTB Average Monthly Rent Report,Apartment,Louth,NorthEast,959.43,2019,3
RTB Average Monthly Rent Report,Apartment,Mayo,West,638.87,2019,3
RTB Average Monthly Rent Report,Apartment,Meath,MidEast,1088.51,2019,3
RTB Average Monthly Rent Report,Apartment,Monaghan,NorthEast,638.5,2019,3
RTB Average Monthly Rent Report,Apartment,Offaly,Midlands,649.57,2019,3
RTB Average Monthly Rent Report,Apartment,Roscommon,West,580.97,2019,3
RTB Average Monthly Rent Report,Apartment,Sligo,NorthWest,780.71,2019,3
RTB Average Monthly Rent Report,Apartment,Tipperary,MidWest,606.73,2019,3
RTB Average Monthly Rent Report,Apartment,Waterford,SouthEast,759.09,2019,3
RTB Average Monthly Rent Report,Apartment,Westmeath,Midlands,810.21,2019,3
RTB Average Monthly Rent Report,Apartment,Wexford,SouthEast,685.88,2019,3
RTB Average Monthly Rent Report,Apartment,Wicklow,MidEast,1184.26,2019,3
RTB Average Monthly Rent Report,Other flats,Carlow,SouthEast,566.17,2019,3
RTB Average Monthly Rent Report,Other flats,Cavan,NorthEast,459.29,2019,3
RTB Average Monthly Rent Report,Other flats,Clare,MidWest,455.53,2019,3
RTB Average Monthly Rent Report,Other flats,Cork,SouthWest,710.12,2019,3
RTB Average Monthly Rent Report,Other flats,Donegal,NorthWest,436.27,2019,3
RTB Average Monthly Rent Report,Other flats,Dublin,Dublin,1133.34,2019,3
RTB Average Monthly Rent Report,Other flats,Galway,West,756.53,2019,3
RTB Average Monthly Rent Report,Other flats,Kerry,SouthWest,518.52,2019,3
RTB Average Monthly Rent Report,Other flats,Kildare,MidEast,841.76,2019,3
RTB Average Monthly Rent Report,Other flats,Kilkenny,SouthEast,0,2019,3
RTB Average Monthly Rent Report,Other flats,Laois,Midlands,0,2019,3
RTB Average Monthly Rent Report,Other flats,Leitrim,NorthWest,0,2019,3
RTB Average Monthly Rent Report,Other flats,Limerick,MidWest,711.77,2019,3
RTB Average Monthly Rent Report,Other flats,Longford,Midlands,0,2019,3
RTB Average Monthly Rent Report,Other flats,Louth,NorthEast,766.89,2019,3
RTB Average Monthly Rent Report,Other flats,Mayo,West,487.21,2019,3
RTB Average Monthly Rent Report,Other flats,Meath,MidEast,754.88,2019,3
RTB Average Monthly Rent Report,Other flats,Monaghan,NorthEast,469.82,2019,3
RTB Average Monthly Rent Report,Other flats,Offaly,Midlands,536.08,2019,3
RTB Average Monthly Rent Report,Other flats,Roscommon,West,0,2019,3
RTB Average Monthly Rent Report,Other flats,Sligo,NorthWest,0,2019,3
RTB Average Monthly Rent Report,Other flats,Tipperary,MidWest,468.34,2019,3
RTB Average Monthly Rent Report,Other flats,Waterford,SouthEast,582.09,2019,3
RTB Average Monthly Rent Report,Other flats,Westmeath,Midlands,556.56,2019,3
RTB Average Monthly Rent Report,Other flats,Wexford,SouthEast,546.55,2019,3
RTB Average Monthly Rent Report,Other flats,Wicklow,MidEast,843.15,2019,3
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,969.84,2019,4
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,697.68,2019,4
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,779.38,2019,4
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1080.58,2019,4
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,607.14,2019,4
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2372.25,2019,4
RTB Average Monthly Rent Report,Detached house,Galway,West,1058.41,2019,4
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,751.06,2019,4
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1448.17,2019,4
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,858.64,2019,4
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,917.16,2019,4
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,575.69,2019,4
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,1040.62,2019,4
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,686.65,2019,4
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1221.93,2019,4
RTB Average Monthly Rent Report,Detached house,Mayo,West,680.65,2019,4
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1247.96,2019,4
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,683.37,2019,4
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,777.48,2019,4
RTB Average Monthly Rent Report,Detached house,Roscommon,West,671.67,2019,4
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,758.07,2019,4
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,738.84,2019,4
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,841.11,2019,4
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,882.06,2019,4
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,836.76,2019,4
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1361.45,2019,4
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,880.36,2019,4
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,712,2019,4
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,812.6,2019,4
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1159.87,2019,4
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,621.51,2019,4
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1937.34,2019,4
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1158.68,2019,4
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,795.02,2019,4
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1339.38,2019,4
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,905.11,2019,4
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,919.33,2019,4
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,576.17,2019,4
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1118.76,2019,4
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,667.52,2019,4
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1121.69,2019,4
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,687.01,2019,4
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1255.24,2019,4
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,729.67,2019,4
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,851.66,2019,4
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,672.14,2019,4
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,922.2,2019,4
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,747.26,2019,4
RTB Average Monthly Rent Report,Semi detached house,Waterford,SouthEast,917.48,2019,4
RTB Average Monthly Rent Report,Semi detached house,Westmeath,Midlands,869.89,2019,4
RTB Average Monthly Rent Report,Semi detached house,Wexford,SouthEast,809.82,2019,4
RTB Average Monthly Rent Report,Semi detached house,Wicklow,MidEast,1361.97,2019,4
RTB Average Monthly Rent Report,Terrace house,Carlow,SouthEast,812.63,2019,4
RTB Average Monthly Rent Report,Terrace house,Cavan,NorthEast,634.52,2019,4
RTB Average Monthly Rent Report,Terrace house,Clare,MidWest,731.51,2019,4
RTB Average Monthly Rent Report,Terrace house,Cork,SouthWest,1151.23,2019,4
RTB Average Monthly Rent Report,Terrace house,Donegal,NorthWest,531.19,2019,4
RTB Average Monthly Rent Report,Terrace house,Dublin,Dublin,1849.9,2019,4
RTB Average Monthly Rent Report,Terrace house,Galway,West,1172.61,2019,4
RTB Average Monthly Rent Report,Terrace house,Kerry,SouthWest,737.37,2019,4
RTB Average Monthly Rent Report,Terrace house,Kildare,MidEast,1215.38,2019,4
RTB Average Monthly Rent Report,Terrace house,Kilkenny,SouthEast,818.81,2019,4
RTB Average Monthly Rent Report,Terrace house,Laois,Midlands,857.81,2019,4
RTB Average Monthly Rent Report,Terrace house,Leitrim,NorthWest,541.46,2019,4
RTB Average Monthly Rent Report,Terrace house,Limerick,MidWest,962.98,2019,4
RTB Average Monthly Rent Report,Terrace house,Longford,Midlands,637.46,2019,4
RTB Average Monthly Rent Report,Terrace house,Louth,NorthEast,1016.72,2019,4
RTB Average Monthly Rent Report,Terrace house,Mayo,West,656.93,2019,4
RTB Average Monthly Rent Report,Terrace house,Meath,MidEast,1166.34,2019,4
RTB Average Monthly Rent Report,Terrace house,Monaghan,NorthEast,647.17,2019,4
RTB Average Monthly Rent Report,Terrace house,Offaly,Midlands,839.28,2019,4
RTB Average Monthly Rent Report,Terrace house,Roscommon,West,661.76,2019,4
RTB Average Monthly Rent Report,Terrace house,Sligo,NorthWest,737.28,2019,4
RTB Average Monthly Rent Report,Terrace house,Tipperary,MidWest,681.76,2019,4
RTB Average Monthly Rent Report,Terrace house,Waterford,SouthEast,769.41,2019,4
RTB Average Monthly Rent Report,Terrace house,Westmeath,Midlands,811.75,2019,4
RTB Average Monthly Rent Report,Terrace house,Wexford,SouthEast,751.46,2019,4
RTB Average Monthly Rent Report,Terrace house,Wicklow,MidEast,1219.77,2019,4
RTB Average Monthly Rent Report,Apartment,Carlow,SouthEast,815.21,2019,4
RTB Average Monthly Rent Report,Apartment,Cavan,NorthEast,605.5,2019,4
RTB Average Monthly Rent Report,Apartment,Clare,MidWest,692.76,2019,4
RTB Average Monthly Rent Report,Apartment,Cork,SouthWest,1085.45,2019,4
RTB Average Monthly Rent Report,Apartment,Donegal,NorthWest,538.07,2019,4
RTB Average Monthly Rent Report,Apartment,Dublin,Dublin,1701.6,2019,4
RTB Average Monthly Rent Report,Apartment,Galway,West,1096,2019,4
RTB Average Monthly Rent Report,Apartment,Kerry,SouthWest,738.56,2019,4
RTB Average Monthly Rent Report,Apartment,Kildare,MidEast,1144.37,2019,4
RTB Average Monthly Rent Report,Apartment,Kilkenny,SouthEast,849.03,2019,4
RTB Average Monthly Rent Report,Apartment,Laois,Midlands,816.59,2019,4
RTB Average Monthly Rent Report,Apartment,Leitrim,NorthWest,540.83,2019,4
RTB Average Monthly Rent Report,Apartment,Limerick,MidWest,962.72,2019,4
RTB Average Monthly Rent Report,Apartment,Longford,Midlands,568.16,2019,4
RTB Average Monthly Rent Report,Apartment,Louth,NorthEast,971.4,2019,4
RTB Average Monthly Rent Report,Apartment,Mayo,West,646.19,2019,4
RTB Average Monthly Rent Report,Apartment,Meath,MidEast,1099.69,2019,4
RTB Average Monthly Rent Report,Apartment,Monaghan,NorthEast,634.59,2019,4
RTB Average Monthly Rent Report,Apartment,Offaly,Midlands,677.93,2019,4
RTB Average Monthly Rent Report,Apartment,Roscommon,West,583.6,2019,4
RTB Average Monthly Rent Report,Apartment,Sligo,NorthWest,779.67,2019,4
RTB Average Monthly Rent Report,Apartment,Tipperary,MidWest,614.95,2019,4
RTB Average Monthly Rent Report,Apartment,Waterford,SouthEast,748.22,2019,4
RTB Average Monthly Rent Report,Apartment,Westmeath,Midlands,824.91,2019,4
RTB Average Monthly Rent Report,Apartment,Wexford,SouthEast,692.28,2019,4
RTB Average Monthly Rent Report,Apartment,Wicklow,MidEast,1197.12,2019,4
RTB Average Monthly Rent Report,Other flats,Carlow,SouthEast,573.31,2019,4
RTB Average Monthly Rent Report,Other flats,Cavan,NorthEast,447.85,2019,4
RTB Average Monthly Rent Report,Other flats,Clare,MidWest,457.41,2019,4
RTB Average Monthly Rent Report,Other flats,Cork,SouthWest,722.25,2019,4
RTB Average Monthly Rent Report,Other flats,Donegal,NorthWest,432.92,2019,4
RTB Average Monthly Rent Report,Other flats,Dublin,Dublin,1135.54,2019,4
RTB Average Monthly Rent Report,Other flats,Galway,West,751,2019,4
RTB Average Monthly Rent Report,Other flats,Kerry,SouthWest,522.82,2019,4
RTB Average Monthly Rent Report,Other flats,Kildare,MidEast,863.77,2019,4
RTB Average Monthly Rent Report,Other flats,Kilkenny,SouthEast,0,2019,4
RTB Average Monthly Rent Report,Other flats,Laois,Midlands,0,2019,4
RTB Average Monthly Rent Report,Other flats,Leitrim,NorthWest,0,2019,4
RTB Average Monthly Rent Report,Other flats,Limerick,MidWest,699.11,2019,4
RTB Average Monthly Rent Report,Other flats,Longford,Midlands,0,2019,4
RTB Average Monthly Rent Report,Other flats,Louth,NorthEast,792.62,2019,4
RTB Average Monthly Rent Report,Other flats,Mayo,West,488.53,2019,4
RTB Average Monthly Rent Report,Other flats,Meath,MidEast,764.12,2019,4
RTB Average Monthly Rent Report,Other flats,Monaghan,NorthEast,496.59,2019,4
RTB Average Monthly Rent Report,Other flats,Offaly,Midlands,567.3,2019,4
RTB Average Monthly Rent Report,Other flats,Roscommon,West,0,2019,4
RTB Average Monthly Rent Report,Other flats,Sligo,NorthWest,0,2019,4
RTB Average Monthly Rent Report,Other flats,Tipperary,MidWest,469.13,2019,4
RTB Average Monthly Rent Report,Other flats,Waterford,SouthEast,626.57,2019,4
RTB Average Monthly Rent Report,Other flats,Westmeath,Midlands,598.29,2019,4
RTB Average Monthly Rent Report,Other flats,Wexford,SouthEast,545.82,2019,4
RTB Average Monthly Rent Report,Other flats,Wicklow,MidEast,845.78,2019,4
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,928,2020,1
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,699.63,2020,1
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,781.84,2020,1
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1068.32,2020,1
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,601.84,2020,1
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2422.76,2020,1
RTB Average Monthly Rent Report,Detached house,Galway,West,1078.67,2020,1
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,773.55,2020,1
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1459.54,2020,1
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,872.05,2020,1
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,922.05,2020,1
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,587.6,2020,1
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,1006.58,2020,1
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,700.79,2020,1
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1234.17,2020,1
RTB Average Monthly Rent Report,Detached house,Mayo,West,691.21,2020,1
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1247.25,2020,1
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,705.19,2020,1
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,774.94,2020,1
RTB Average Monthly Rent Report,Detached house,Roscommon,West,669.92,2020,1
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,756,2020,1
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,755.21,2020,1
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,850.69,2020,1
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,876.39,2020,1
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,847.47,2020,1
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1395.6,2020,1
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,876.52,2020,1
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,718.47,2020,1
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,823.31,2020,1
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1161.68,2020,1
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,624.39,2020,1
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1954.92,2020,1
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1137.58,2020,1
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,800.46,2020,1
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1358.15,2020,1
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,907.01,2020,1
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,929.82,2020,1
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,584.09,2020,1
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1090.05,2020,1
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,684.14,2020,1
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1128.96,2020,1
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,695.68,2020,1
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1269.31,2020,1
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,736.99,2020,1
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,861.45,2020,1
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,684.1,2020,1
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,762.11,2020,1
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,753.68,2020,1
RTB Average Monthly Rent Report,Semi detached house,Waterford,SouthEast,869.98,2020,1
RTB Average Monthly Rent Report,Semi detached house,Westmeath,Midlands,891.79,2020,1
RTB Average Monthly Rent Report,Semi detached house,Wexford,SouthEast,808.63,2020,1
RTB Average Monthly Rent Report,Semi detached house,Wicklow,MidEast,1377.29,2020,1
RTB Average Monthly Rent Report,Terrace house,Carlow,SouthEast,824.45,2020,1
RTB Average Monthly Rent Report,Terrace house,Cavan,NorthEast,643.08,2020,1
RTB Average Monthly Rent Report,Terrace house,Clare,MidWest,739.5,2020,1
RTB Average Monthly Rent Report,Terrace house,Cork,SouthWest,1131.52,2020,1
RTB Average Monthly Rent Report,Terrace house,Donegal,NorthWest,531.38,2020,1
RTB Average Monthly Rent Report,Terrace house,Dublin,Dublin,1867.18,2020,1
RTB Average Monthly Rent Report,Terrace house,Galway,West,1167.45,2020,1
RTB Average Monthly Rent Report,Terrace house,Kerry,SouthWest,745.59,2020,1
RTB Average Monthly Rent Report,Terrace house,Kildare,MidEast,1292.45,2020,1
RTB Average Monthly Rent Report,Terrace house,Kilkenny,SouthEast,832.35,2020,1
RTB Average Monthly Rent Report,Terrace house,Laois,Midlands,861.33,2020,1
RTB Average Monthly Rent Report,Terrace house,Leitrim,NorthWest,554.32,2020,1
RTB Average Monthly Rent Report,Terrace house,Limerick,MidWest,959.73,2020,1
RTB Average Monthly Rent Report,Terrace house,Longford,Midlands,662.92,2020,1
RTB Average Monthly Rent Report,Terrace house,Louth,NorthEast,1030.17,2020,1
RTB Average Monthly Rent Report,Terrace house,Mayo,West,663.59,2020,1
RTB Average Monthly Rent Report,Terrace house,Meath,MidEast,1189.31,2020,1
RTB Average Monthly Rent Report,Terrace house,Monaghan,NorthEast,640.08,2020,1
RTB Average Monthly Rent Report,Terrace house,Offaly,Midlands,864.59,2020,1
RTB Average Monthly Rent Report,Terrace house,Roscommon,West,656.14,2020,1
RTB Average Monthly Rent Report,Terrace house,Sligo,NorthWest,734.44,2020,1
RTB Average Monthly Rent Report,Terrace house,Tipperary,MidWest,687.73,2020,1
RTB Average Monthly Rent Report,Terrace house,Waterford,SouthEast,744.1,2020,1
RTB Average Monthly Rent Report,Terrace house,Westmeath,Midlands,841.3,2020,1
RTB Average Monthly Rent Report,Terrace house,Wexford,SouthEast,761.11,2020,1
RTB Average Monthly Rent Report,Terrace house,Wicklow,MidEast,1230.92,2020,1
RTB Average Monthly Rent Report,Apartment,Carlow,SouthEast,797.59,2020,1
RTB Average Monthly Rent Report,Apartment,Cavan,NorthEast,615.32,2020,1
RTB Average Monthly Rent Report,Apartment,Clare,MidWest,695.45,2020,1
RTB Average Monthly Rent Report,Apartment,Cork,SouthWest,1095.32,2020,1
RTB Average Monthly Rent Report,Apartment,Donegal,NorthWest,551.1,2020,1
RTB Average Monthly Rent Report,Apartment,Dublin,Dublin,1720.61,2020,1
RTB Average Monthly Rent Report,Apartment,Galway,West,1092.92,2020,1
RTB Average Monthly Rent Report,Apartment,Kerry,SouthWest,756.55,2020,1
RTB Average Monthly Rent Report,Apartment,Kildare,MidEast,1171.77,2020,1
RTB Average Monthly Rent Report,Apartment,Kilkenny,SouthEast,855.76,2020,1
RTB Average Monthly Rent Report,Apartment,Laois,Midlands,820.64,2020,1
RTB Average Monthly Rent Report,Apartment,Leitrim,NorthWest,546.2,2020,1
RTB Average Monthly Rent Report,Apartment,Limerick,MidWest,982.17,2020,1
RTB Average Monthly Rent Report,Apartment,Longford,Midlands,595.43,2020,1
RTB Average Monthly Rent Report,Apartment,Louth,NorthEast,991.3,2020,1
RTB Average Monthly Rent Report,Apartment,Mayo,West,653.05,2020,1
RTB Average Monthly Rent Report,Apartment,Meath,MidEast,1123.24,2020,1
RTB Average Monthly Rent Report,Apartment,Monaghan,NorthEast,641.08,2020,1
RTB Average Monthly Rent Report,Apartment,Offaly,Midlands,699.81,2020,1
RTB Average Monthly Rent Report,Apartment,Roscommon,West,593.11,2020,1
RTB Average Monthly Rent Report,Apartment,Sligo,NorthWest,698.53,2020,1
RTB Average Monthly Rent Report,Apartment,Tipperary,MidWest,623.32,2020,1
RTB Average Monthly Rent Report,Apartment,Waterford,SouthEast,780.22,2020,1
RTB Average Monthly Rent Report,Apartment,Westmeath,Midlands,832.51,2020,1
RTB Average Monthly Rent Report,Apartment,Wexford,SouthEast,695.63,2020,1
RTB Average Monthly Rent Report,Apartment,Wicklow,MidEast,1225.63,2020,1
RTB Average Monthly Rent Report,Other flats,Carlow,SouthEast,587.25,2020,1
RTB Average Monthly Rent Report,Other flats,Cavan,NorthEast,452.72,2020,1
RTB Average Monthly Rent Report,Other flats,Clare,MidWest,455.28,2020,1
RTB Average Monthly Rent Report,Other flats,Cork,SouthWest,738.92,2020,1
RTB Average Monthly Rent Report,Other flats,Donegal,NorthWest,439.24,2020,1
RTB Average Monthly Rent Report,Other flats,Dublin,Dublin,1154.53,2020,1
RTB Average Monthly Rent Report,Other flats,Galway,West,726.32,2020,1
RTB Average Monthly Rent Report,Other flats,Kerry,SouthWest,543.22,2020,1
RTB Average Monthly Rent Report,Other flats,Kildare,MidEast,918.51,2020,1
RTB Average Monthly Rent Report,Other flats,Kilkenny,SouthEast,0,2020,1
RTB Average Monthly Rent Report,Other flats,Laois,Midlands,0,2020,1
RTB Average Monthly Rent Report,Other flats,Leitrim,NorthWest,0,2020,1
RTB Average Monthly Rent Report,Other flats,Limerick,MidWest,692.6,2020,1
RTB Average Monthly Rent Report,Other flats,Longford,Midlands,0,2020,1
RTB Average Monthly Rent Report,Other flats,Louth,NorthEast,764.66,2020,1
RTB Average Monthly Rent Report,Other flats,Mayo,West,501.01,2020,1
RTB Average Monthly Rent Report,Other flats,Meath,MidEast,768.92,2020,1
RTB Average Monthly Rent Report,Other flats,Monaghan,NorthEast,515.83,2020,1
RTB Average Monthly Rent Report,Other flats,Offaly,Midlands,537.34,2020,1
RTB Average Monthly Rent Report,Other flats,Roscommon,West,0,2020,1
RTB Average Monthly Rent Report,Other flats,Sligo,NorthWest,0,2020,1
RTB Average Monthly Rent Report,Other flats,Tipperary,MidWest,484.88,2020,1
RTB Average Monthly Rent Report,Other flats,Waterford,SouthEast,633.21,2020,1
RTB Average Monthly Rent Report,Other flats,Westmeath,Midlands,616.94,2020,1
RTB Average Monthly Rent Report,Other flats,Wexford,SouthEast,559.54,2020,1
RTB Average Monthly Rent Report,Other flats,Wicklow,MidEast,854.04,2020,1
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,930.89,2020,2
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,705.28,2020,2
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,781.91,2020,2
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1074.5,2020,2
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,608.14,2020,2
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2434.1,2020,2
RTB Average Monthly Rent Report,Detached house,Galway,West,1076.29,2020,2
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,763.38,2020,2
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1453.52,2020,2
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,875.02,2020,2
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,923.76,2020,2
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,590.92,2020,2
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,1008.58,2020,2
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,700.56,2020,2
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1230.32,2020,2
RTB Average Monthly Rent Report,Detached house,Mayo,West,692.93,2020,2
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1250.81,2020,2
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,708.33,2020,2
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,775.15,2020,2
RTB Average Monthly Rent Report,Detached house,Roscommon,West,673.75,2020,2
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,759.46,2020,2
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,755.28,2020,2
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,852.18,2020,2
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,888.73,2020,2
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,848.36,2020,2
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1393.97,2020,2
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,887.69,2020,2
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,724.1,2020,2
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,830.39,2020,2
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1158.16,2020,2
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,629.35,2020,2
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1956.22,2020,2
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1143.98,2020,2
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,797.41,2020,2
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1363.85,2020,2
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,905.48,2020,2
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,935.05,2020,2
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,595.4,2020,2
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1093.27,2020,2
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,686.44,2020,2
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1132.32,2020,2
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,696.63,2020,2
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1254.26,2020,2
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,743.87,2020,2
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,871.58,2020,2
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,687.1,2020,2
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,767.93,2020,2
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,757.45,2020,2
